TILEMAP
48 26 							-- Size of tile map in tiles x/y
32 32 							-- Tile size & block size
images/pangblocks.png 	-- Tilesheet
10 10							-- Number of tiles in tilesheet
123232323232323232323232323232323232323232323231
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
123232323232323232323232323232323232323232323231
